Gen,Gen ID
BnaCnng42420D,GSBRNA2T00039529001
BnaC08g49410D,GSBRNA2T00039646001
BnaA01g06830D,GSBRNA2T00039878001
BnaA01g06800D,GSBRNA2T00039884001
BnaC03g66790D,GSBRNA2T00040020001
BnaA05g18290D,GSBRNA2T00040255001
BnaC07g12860D,GSBRNA2T00040341001
BnaC02g36630D,GSBRNA2T00040398001
BnaC02g36240D,GSBRNA2T00040460001
BnaC02g19290D,GSBRNA2T00040507001
BnaA06g19490D,GSBRNA2T00040575001
BnaCnng42960D,GSBRNA2T00040788001
BnaCnng43000D,GSBRNA2T00040804001
BnaCnng43160D,GSBRNA2T00040907001
BnaA01g36630D,GSBRNA2T00040971001
BnaCnng43630D,GSBRNA2T00041068001
BnaCnng06230D,GSBRNA2T00041375001
BnaA02g09890D,GSBRNA2T00041448001
BnaA02g10060D,GSBRNA2T00041473001
BnaA02g10220D,GSBRNA2T00041496001
BnaC06g26670D,GSBRNA2T00041561001
BnaA02g25010D,GSBRNA2T00041690001
BnaC07g32020D,GSBRNA2T00041719001
BnaC07g32140D,GSBRNA2T00041737001
BnaC09g18140D,GSBRNA2T00041842001
BnaC09g18430D,GSBRNA2T00041897001
BnaC09g18480D,GSBRNA2T00041907001
BnaA09g53800D,GSBRNA2T00041930001
BnaC09g15440D,GSBRNA2T00041995001
BnaA06g25630D,GSBRNA2T00042094001
BnaA06g25230D,GSBRNA2T00042162001
BnaA06g25210D,GSBRNA2T00042164001
BnaC01g19630D,GSBRNA2T00042280001
BnaC08g48320D,GSBRNA2T00042422001
BnaAnng19520D,GSBRNA2T00042489001
BnaC08g46660D,GSBRNA2T00042530001
BnaA06g37880D,GSBRNA2T00042667001
BnaA02g35900D,GSBRNA2T00042769001
BnaA08g31590D,GSBRNA2T00042793001
BnaA08g31650D,GSBRNA2T00042800001
BnaA06g14340D,GSBRNA2T00042940001
BnaA06g13900D,GSBRNA2T00043000001
BnaA06g13760D,GSBRNA2T00043017001
BnaA06g14520D,GSBRNA2T00043214001
BnaA06g14510D,GSBRNA2T00043215001
BnaA06g14400D,GSBRNA2T00043228001
BnaA03g53930D,GSBRNA2T00043261001
